household_id,person_id,age,age_group,gender,race_ethnicity,race_ethnicity_hispanic,license,employment_status,work_x_coord,work_y_coord,work_bmc_taz,student_status,area_type,home_state_county_fips,home_x_coord,home_y_coord,home_type,home_ownership,hhsize,numstudents,numworkers,numvehicle,hh_income_detailed,tripid-trip1,tripid-trip2,tripid-trip3,tripid-trip4,tripid-trip5,tripid-trip6,tripid-trip7,tripid-trip8,tripid-trip9,tripid-trip10,tripid-trip11,tripid-trip12,o_activity-trip1,o_activity-trip2,o_activity-trip3,o_activity-trip4,o_activity-trip5,o_activity-trip6,o_activity-trip7,o_activity-trip8,o_activity-trip9,o_activity-trip10,o_activity-trip11,o_activity-trip12,o_state_county_fips-trip1,o_state_county_fips-trip2,o_state_county_fips-trip3,o_state_county_fips-trip4,o_state_county_fips-trip5,o_state_county_fips-trip6,o_state_county_fips-trip7,o_state_county_fips-trip8,o_state_county_fips-trip9,o_state_county_fips-trip10,o_state_county_fips-trip11,o_state_county_fips-trip12,o_trip_x_coord-trip1,o_trip_x_coord-trip2,o_trip_x_coord-trip3,o_trip_x_coord-trip4,o_trip_x_coord-trip5,o_trip_x_coord-trip6,o_trip_x_coord-trip7,o_trip_x_coord-trip8,o_trip_x_coord-trip9,o_trip_x_coord-trip10,o_trip_x_coord-trip11,o_trip_x_coord-trip12,o_trip_y_coord-trip1,o_trip_y_coord-trip2,o_trip_y_coord-trip3,o_trip_y_coord-trip4,o_trip_y_coord-trip5,o_trip_y_coord-trip6,o_trip_y_coord-trip7,o_trip_y_coord-trip8,o_trip_y_coord-trip9,o_trip_y_coord-trip10,o_trip_y_coord-trip11,o_trip_y_coord-trip12,o_bmc_taz-trip1,o_bmc_taz-trip2,o_bmc_taz-trip3,o_bmc_taz-trip4,o_bmc_taz-trip5,o_bmc_taz-trip6,o_bmc_taz-trip7,o_bmc_taz-trip8,o_bmc_taz-trip9,o_bmc_taz-trip10,o_bmc_taz-trip11,o_bmc_taz-trip12,d_activity-trip1,d_activity-trip2,d_activity-trip3,d_activity-trip4,d_activity-trip5,d_activity-trip6,d_activity-trip7,d_activity-trip8,d_activity-trip9,d_activity-trip10,d_activity-trip11,d_activity-trip12,d_state_county_fips-trip1,d_state_county_fips-trip2,d_state_county_fips-trip3,d_state_county_fips-trip4,d_state_county_fips-trip5,d_state_county_fips-trip6,d_state_county_fips-trip7,d_state_county_fips-trip8,d_state_county_fips-trip9,d_state_county_fips-trip10,d_state_county_fips-trip11,d_state_county_fips-trip12,d_trip_x_coord-trip1,d_trip_x_coord-trip2,d_trip_x_coord-trip3,d_trip_x_coord-trip4,d_trip_x_coord-trip5,d_trip_x_coord-trip6,d_trip_x_coord-trip7,d_trip_x_coord-trip8,d_trip_x_coord-trip9,d_trip_x_coord-trip10,d_trip_x_coord-trip11,d_trip_x_coord-trip12,d_trip_y_coord-trip1,d_trip_y_coord-trip2,d_trip_y_coord-trip3,d_trip_y_coord-trip4,d_trip_y_coord-trip5,d_trip_y_coord-trip6,d_trip_y_coord-trip7,d_trip_y_coord-trip8,d_trip_y_coord-trip9,d_trip_y_coord-trip10,d_trip_y_coord-trip11,d_trip_y_coord-trip12,d_bmc_taz-trip1,d_bmc_taz-trip2,d_bmc_taz-trip3,d_bmc_taz-trip4,d_bmc_taz-trip5,d_bmc_taz-trip6,d_bmc_taz-trip7,d_bmc_taz-trip8,d_bmc_taz-trip9,d_bmc_taz-trip10,d_bmc_taz-trip11,d_bmc_taz-trip12,departure_time_hhmm-trip1,departure_time_hhmm-trip2,departure_time_hhmm-trip3,departure_time_hhmm-trip4,departure_time_hhmm-trip5,departure_time_hhmm-trip6,departure_time_hhmm-trip7,departure_time_hhmm-trip8,departure_time_hhmm-trip9,departure_time_hhmm-trip10,departure_time_hhmm-trip11,departure_time_hhmm-trip12,arrival_time_hhmm-trip1,arrival_time_hhmm-trip2,arrival_time_hhmm-trip3,arrival_time_hhmm-trip4,arrival_time_hhmm-trip5,arrival_time_hhmm-trip6,arrival_time_hhmm-trip7,arrival_time_hhmm-trip8,arrival_time_hhmm-trip9,arrival_time_hhmm-trip10,arrival_time_hhmm-trip11,arrival_time_hhmm-trip12,travel_mode-trip1,travel_mode-trip2,travel_mode-trip3,travel_mode-trip4,travel_mode-trip5,travel_mode-trip6,travel_mode-trip7,travel_mode-trip8,travel_mode-trip9,travel_mode-trip10,travel_mode-trip11,travel_mode-trip12,reported_travel_time-trip1,reported_travel_time-trip2,reported_travel_time-trip3,reported_travel_time-trip4,reported_travel_time-trip5,reported_travel_time-trip6,reported_travel_time-trip7,reported_travel_time-trip8,reported_travel_time-trip9,reported_travel_time-trip10,reported_travel_time-trip11,reported_travel_time-trip12,staying_time-trip1,staying_time-trip2,staying_time-trip3,staying_time-trip4,staying_time-trip5,staying_time-trip6,staying_time-trip7,staying_time-trip8,staying_time-trip9,staying_time-trip10,staying_time-trip11,staying_time-trip12
140000006,14000000601,82,7,1,1,2,1,1,,,,0,10,24001,-78.607711,39.71195,1,1,1,0,0,2,4,1.4E+12,1.4E+12,,,,,,,,,,,1,7,,,,,,,,,,,24001,24001,,,,,,,,,,,-78.607711,-78.571862,,,,,,,,,,,39.71195,39.7041,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,24001,24001,,,,,,,,,,,-78.571862,-78.607711,,,,,,,,,,,39.7041,39.71195,,,,,,,,,,,,,,,,,,,,,,,1700,1745,,,,,,,,,,,1705,1750,,,,,,,,,,,4,4,,,,,,,,,,,5,5,,,,,,,,,,,40,0,,,,,,,,,,
140000013,14000001301,53,6,1,1,2,1,0,-78.732812,39.648369,,1,10,24001,-78.670491,39.59448,1,1,2,0,2,3,7,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,,,,,,,,1,10,5,1,5,,,,,,,,24001,24001,24001,24001,24001,,,,,,,,-78.670491,-78.849618,-78.839759,-78.670491,-78.758605,,,,,,,,39.59448,39.6385,39.631553,39.59448,39.64607,,,,,,,,,,,,,,,,,,,,10,5,1,5,14,,,,,,,,24001,24001,24001,24001,54057,,,,,,,,-78.849618,-78.839759,-78.670491,-78.758605,-79.136508,,,,,,,,39.6385,39.631553,39.59448,39.64607,39.416915,,,,,,,,,,,,,,,,,,,,800,835,915,1100,1230,,,,,,,,825,840,1000,1115,1600,,,,,,,,4,4,4,4,5,,,,,,,,25,5,45,15,210,,,,,,,,10,35,60,75,0,,,,,,,
140000013,14000001302,57,6,2,1,2,1,0,,,,0,10,24001,-78.670491,39.59448,1,1,2,0,2,3,7,1.4E+12,1.4E+12,,,,,,,,,,,1,5,,,,,,,,,,,24001,24001,,,,,,,,,,,-78.670491,-78.758605,,,,,,,,,,,39.59448,39.64607,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,,,,,,,24001,54057,,,,,,,,,,,-78.758605,-79.136508,,,,,,,,,,,39.64607,39.416915,,,,,,,,,,,,,,,,,,,,,,,1100,1230,,,,,,,,,,,1115,1600,,,,,,,,,,,5,5,,,,,,,,,,,15,210,,,,,,,,,,,75,0,,,,,,,,,,
140000017,14000001701,34,5,2,1,2,1,0,,,,0,10,24001,-78.696421,39.67684,1,1,3,0,2,8,4,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,,,,,,,1,2,2,2,7,2,,,,,,,24001,24043,24043,24013,24043,24043,,,,,,,-78.696421,-78.296358,-78.045908,-76.879892,-77.690908,-77.80759,,,,,,,39.67684,39.710094,39.654694,39.607678,39.615122,39.637406,,,,,,,,,,992,,,,,,,,,2,2,2,7,2,1,,,,,,,24043,24043,24013,24043,24043,24001,,,,,,,-78.296358,-78.045908,-76.879892,-77.690908,-77.80759,-78.696421,,,,,,,39.710094,39.654694,39.607678,39.615122,39.637406,39.67684,,,,,,,,,992,,,,,,,,,,810,840,910,1300,1445,1525,,,,,,,830,855,1045,1440,1500,1640,,,,,,,4,4,4,4,4,4,,,,,,,20,15,95,100,15,75,,,,,,,10,15,135,5,25,0,,,,,,
140000017,14000001702,33,5,2,1,2,1,0,,,,0,10,24001,-78.696421,39.67684,1,1,3,0,2,8,4,1.4E+12,1.4E+12,1.4E+12,1.4E+12,,,,,,,,,1,2,9,5,,,,,,,,,24001,24001,24001,24001,,,,,,,,,-78.696421,-78.833894,-78.830965,-78.83996,,,,,,,,,39.67684,39.637964,39.638224,39.63213,,,,,,,,,,,,,,,,,,,,,2,9,5,1,,,,,,,,,24001,24001,24001,24001,,,,,,,,,-78.833894,-78.830965,-78.83996,-78.696421,,,,,,,,,39.637964,39.638224,39.63213,39.67684,,,,,,,,,,,,,,,,,,,,,1130,1715,1730,2015,,,,,,,,,1150,1720,1735,2030,,,,,,,,,4,4,4,4,,,,,,,,,20,5,5,15,,,,,,,,,325,10,160,0,,,,,,,,
140000017,14000001703,55,6,1,1,2,1,7,,,,0,10,24001,-78.696421,39.67684,1,1,3,0,2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140000019,14000001901,35,5,1,1,2,1,0,,,,1,10,24001,-78.714441,39.70393,1,1,2,2,2,2,5,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,,,,,1,2,1,16,11,11,16,10,,,,,24001,24001,24001,24001,24023,24023,24001,24001,,,,,-78.714441,-78.762975,-78.714441,-78.769691,-79.355522,-79.369928,-78.769691,-78.735874,,,,,39.70393,39.636886,39.70393,39.656324,39.559965,39.572066,39.656324,39.680489,,,,,,,,,,,,,,,,,2,1,16,11,11,16,10,1,,,,,24001,24001,24001,24023,24023,24001,24001,24001,,,,,-78.762975,-78.714441,-78.769691,-79.355522,-79.369928,-78.769691,-78.735874,-78.714441,,,,,39.636886,39.70393,39.656324,39.559965,39.572066,39.656324,39.680489,39.70393,,,,,,,,,,,,,,,,,733,1600,1648,1700,2011,2041,2123,2130,,,,,745,1618,1700,1756,2040,2122,2128,2134,,,,,4,4,4,4,4,4,4,4,,,,,12,18,13,56,29,41,5,4,,,,,495,30,0,135,1,1,2,0,,,,
140000019,14000001902,26,5,1,1,2,1,0,-78.769691,39.656324,,1,10,24001,-78.714441,39.70393,1,1,2,2,2,2,5,1.4E+12,1.4E+12,1.4E+12,1.4E+12,1.4E+12,,,,,,,,1,2,7,11,8,,,,,,,,24001,24001,24023,24023,24001,,,,,,,,-78.714441,-78.769691,-79.355522,-79.369928,-78.736532,,,,,,,,39.70393,39.656324,39.559965,39.572066,39.677983,,,,,,,,,,,,,,,,,,,,2,7,11,8,1,,,,,,,,24001,24023,24023,24001,24001,,,,,,,,-78.769691,-79.355522,-79.369928,-78.736532,-78.714441,,,,,,,,39.656324,39.559965,39.572066,39.677983,39.70393,,,,,,,,,,,,,,,,,,,,740,1707,2012,2042,2132,,,,,,,,803,1749,2036,2127,2141,,,,,,,,4,5,4,4,4,,,,,,,,23,42,24,45,8,,,,,,,,544,143,6,5,0,,,,,,,
140000024,14000002401,47,6,1,1,2,1,0,,,,0,10,24001,-78.726791,39.60507,1,1,2,1,1,2,8,1.4E+12,1.4E+12,1.4E+12,,,,,,,,,,1,2,8,,,,,,,,,,24001,24031,24021,,,,,,,,,,-78.726791,-77.030491,-77.533162,,,,,,,,,,39.60507,38.992408,39.273494,,,,,,,,,,,2025,2932,,,,,,,,,,2,8,1,,,,,,,,,,24031,24021,24001,,,,,,,,,,-77.030491,-77.533162,-78.726791,,,,,,,,,,38.992408,39.273494,39.60507,,,,,,,,,,2025,2932,,,,,,,,,,,500,1627,1804,,,,,,,,,,835,1748,1942,,,,,,,,,,7,7,4,,,,,,,,,,215,81,98,,,,,,,,,,472,16,0,,,,,,,,,
140000024,14000002402,15,3,2,1,2,,,,,,1,10,24001,-78.726791,39.60507,1,1,2,1,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
